,GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
1,3.654,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"chocolate,chips,ice cream",1.0,3.0,1,1.0,2,2.0,1,0.0,2,2.0,4,1.0,2.0,,italian,1,1.0,,1,4,4,4,5,"grains,veggies,more of grains and veggies,small protein and fruit with dairy",,3,4.0,4,4,1.0,2.0,"pasta,steak,chicken",4.0,,4,1.0,1,4,4.0,3.0,1.0,1.0,2,0.24786324786324787,0.6831683168316832,basketball,4,2,0.4391891891891892,0.4230769230769231
2,3.3,1,1,1.0,4.0,0.15789473684210525,2,"frozen yogurt,pizza,fast food",1.0,1.0,1,3.0,3,1.0,1,0.1,2,3.0,5,2.0,2.0,,italian,1,3.0,,1,5,3,5,6,usually includes natural ingredients; nonprocessed food,,6,6.0,5,5,7.0,2.0,"chicken and rice with veggies,pasta,some kind of healthy recipe",2.0,,4,2.0,1,3,5.0,6.0,1.0,2.0,5,1.0,0.3069306930693069,none,5,1,0.4391891891891892,0.45
4,3.5,1,1,1.0,2.0,0.15789473684210525,2,"ice cream,chocolate,chips",1.0,1.0,1,2.0,2,2.0,3,0.2,2,2.0,4,1.0,4.0,,italian,1,3.0,,1,4,4,4,6,"a lean protein such as grilled chicken,green vegetables and  brown rice or other whole grain",,2,6.0,2,5,1.0,1.0,"chicken parmesan,pulled pork,spaghetti and meatballs",5.0,,3,1.0,1,4,2.0,4.0,1.0,1.0,4,0.6153846153846154,0.3069306930693069,softball,4,2,0.25,0.6923076923076923
6,3.8,2,1,0.7582417582417582,3.0,0.15789473684210525,2,"chocolate,ice cream,french fries,pretzels",1.0,2.0,1,1.0,3,1.0,2,0.3,2,3.0,5,1.0,4.0,,thai,4,1.0,,1,4,4,5,4,"protein,vegetables,fruit,and some carbs",,2,4.0,5,5,8.0,1.0,"grilled chicken,steak,pizza",4.0,,4,2.0,2,2,5.0,4.0,1.0,1.0,5,0.6153846153846154,0.6831683168316832,soccer,4,1,1.0,0.6153846153846154
7,3.3,1,1,1.0,3.0,0.15789473684210525,1,"ice cream,cheeseburgers,chips",1.0,3.0,1,1.0,1,2.0,2,0.3,2,2.0,2,2.0,3.0,,anything american style,5,1.0,,1,5,2,3,3,a healthy meal has a piece of meat followed by a lot of fruit and veggies,,2,5.0,1,3,3.0,1.0,"chicken,steak,pasta",2.0,,4,1.0,1,5,1.0,3.0,1.0,2.0,1,0.24786324786324787,0.3069306930693069,none,4,2,1.0,0.2846153846153846
8,3.3,1,1,0.3626373626373626,3.0,0.15789473684210525,1,"donuts,ice cream,chips",2.0,3.0,2,1.0,1,1.0,2,0.6,5,2.0,5,1.6,5.0,,seafood,1,3.0,,1,4,1,5,7,colorful,,6,5.0,5,5,8.0,2.0,"pasta,fish,steak",5.0,,2,1.0,2,3,5.0,4.0,2.0,2.0,5,0.24786324786324787,0.0,none,3,2,0.25,0.6153846153846154
9,3.3,1,1,0.3626373626373626,3.0,0.0,2,"mac and cheese,chocolate,and pasta",1.0,3.0,1,1.0,1,1.0,1,0.1,3,3.0,5,1.0,5.0,,italian,1,1.0,,1,5,1,5,3,"chicken and rice with a side of veggies,",,2,4.0,4,5,3.0,2.0,pasta salad and bread,5.0,,5,1.0,3,3,4.0,3.0,1.0,1.0,4,0.0,0.0,field hockey,5,1,0.4391891891891892,0.19230769230769232
10,3.5,1,1,0.7582417582417582,3.0,1.0,2,"pasta,grandma homemade chocolate cake anything homemade",2.0,1.0,2,1.0,1,2.0,3,0.2,2,1.0,5,1.0,2.0,,orange chicken and chow mani noodles,4,1.0,,1,5,3,1,9,"chicken,and veggies",,7,3.0,1,5,8.0,1.0,"chicken al king,spaghetti,fish",4.0,,2,3.0,1,2,2.0,1.0,1.0,1.0,2,0.6153846153846154,0.0,soccer,5,2,0.4391891891891892,0.12307692307692308
13,3.6,1,1,0.7582417582417582,3.0,0.15789473684210525,2,"ice cream,cake,chocolate",1.0,2.0,1,1.0,2,2.0,1,0.1,4,2.0,5,2.0,2.0,,italian,1,1.0,,1,5,3,4,8,"lots of vegetabls with some grains like rice,also has lean meat such as fish or chicken",,2,5.0,3,5,10.0,2.0,"pasta,chicken,steak",4.0,,2,2.0,2,3,3.0,3.0,1.0,1.0,5,1.0,1.0,intramural volleyball,5,2,1.0,0.17692307692307693
14,3.1,2,1,0.7582417582417582,3.0,0.15789473684210525,2,"pizza,fruit,spaghetti,chicken and potatoes ",2.0,3.0,2,1.0,1,2.0,3,0.2,2,3.0,4,2.0,4.0,,chinese,4,3.0,,1,5,3,4,2,green and not greasy,,1,5.0,2,3,1.0,1.0,"pizza,chicken and rice,roast beef",4.0,,2,2.0,2,3,1.0,3.0,1.0,1.0,4,0.6153846153846154,0.3069306930693069,hockey,5,1,0.4391891891891892,0.6538461538461539
